item_id,item_feedback
c09,"Auf dieses Einkommen sollten keine Steuern fällig werden. Sie gehören nicht zu den Einnahmen."
c04,"Die Besteuerung der großen Konzerne sollte kontrolliert werden (Schlupflöcher stopfen)"
c20,"Menschen sind zwar soziale Wesen, aber sie kümmern sich nicht genug um Andere."
c54,"Reiche Leuten sollen ihre Steuern zahlen. Arme aber genaus (der Steueranteil ist ja eh geringer)."
