-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6
,,,,,,t144,,,,,,
,,,,,t151,t155,t104,,,,,
,,,,,t170,t112,t116,,,,,
,,,,t161,t141,t119,t106,t142,,,,
,,,,t146,t108,t150,t156,t153,,,,
,,,,t165,t148,t139,t107,t103,,,,
,,,t162,t110,t159,t163,t124,t138,t113,,,
,,,t137,t140,t125,t131,t143,t167,t154,,,
,,t118,t105,t133,t169,t166,t158,t136,t126,t117,,
,t101,t122,t115,t152,t111,t127,t114,t130,t164,t123,t120,
t147,t121,t128,t129,t109,t149,t157,t135,t102,t132,t134,t160,t145
