item_id,item_feedback
c40,"[Correction] es muss heißen: '*in* dem Maße, wie es den Schwächsten nützt"
c76,"unverständlich: Was haben Steuern mit demokratischer Gemeinschaft und Marktw. zu tun?"
c43,"[Correction] *in* dem Maße, nicht *zu* dem Maße"
c01,"[Correction] brauchen wir *nicht* viel"
c35,"[Correction] Recht streichen! im Allgemeinen genügt!"
